Назва фіду,Ідентифікатор фіду,Ідентифікатор клієнта,Час завантаження
"PRODUCTS SOURCE 2","407310700","5747965785","23 бер. 2026 р., 13:19 EET"

Ідентифікатор товару,Номер рядка,Повідомлення,Тип,Значення,Назва позиції
"variant_01KKJ7XX0XKNBC1GH3P06XDQC6","8 575","Товар завантажено через кілька фідів",Попередження,,
"variant_01KKJ7XYVG1H6XQPKE38G3TD56","10 549","Товар завантажено через кілька фідів",Попередження,,
"variant_01KKJ7XWESV2GDKBHD9MYTH46J","7 841","Товар завантажено через кілька фідів",Попередження,,
"variant_01KKJ7XP22B675DQVRY2EJ1XR7","1 430","Товар завантажено через кілька фідів",Попередження,,
"variant_01KKJ7XQDSVSPNTWQW5ZNHZQV4","2 520","Товар завантажено через кілька фідів",Попередження,,
"variant_01KKJ7XNGAGF1M6K2N1BZMS6BC","835","Товар завантажено через кілька фідів",Попередження,,
"variant_01KKJ7XX0WNW925V53QKC9624H","8 593","Товар завантажено через кілька фідів",Попередження,,
"variant_01KKJ7XZH0EK4A2683CRSWBEKQ","11 462","Товар завантажено через кілька фідів",Попередження,,
"variant_01KKJ7XYGGHB6ZGVARW2GZB9DX","10 376","Товар завантажено через кілька фідів",Попередження,,
"variant_01KKJ7XT84HJM1CCT8KMS1KPCB","5 241","Товар завантажено через кілька фідів",Попередження,,
"variant_01KKJ7XRACZ47W1R1AKXABP30J","3 016","Товар завантажено через кілька фідів",Попередження,,
"variant_01KKJ7XYGFZFZDSW0H1R5TVEK1","10 394","Товар завантажено через кілька фідів",Попередження,,
"variant_01KKJ7XYGHFR70WN13JJQTDVJ6","10 297","Товар завантажено через кілька фідів",Попередження,,
"variant_01KKJ7XTZSYC9CF3N86T3TZFB4","6 072","Товар завантажено через кілька фідів",Попередження,,
"variant_01KKJ7XRV01RQA7TDG9HTZBZ9G","3 700","Товар завантажено через кілька фідів",Попередження,,
"variant_01KKJ7XSHNADW0RKASZGPD1846","4 191","Товар завантажено через кілька фідів",Попередження,,
"variant_01KKJ7XZX0VKCF70VMP0BJJAE0","11 697","Товар завантажено через кілька фідів",Попередження,,
"variant_01KKJ7XS6HGH1T5S43M0YXXFPM","3 932","Товар завантажено через кілька фідів",Попередження,,
"variant_01KKJ7XSHS12JZFSN0SE9VDSG5","4 546","Товар завантажено через кілька фідів",Попередження,,
"variant_01KKJ7XQDQE4KPY1ZAKDM07SVM","2 560","Товар завантажено через кілька фідів",Попередження,,
"variant_01KKJ7XW5QM0BJH1BR1J80NBJS","7 373","Товар завантажено через кілька фідів",Попередження,,
"variant_01KKJ7XZGYFVBMWBPRXDTT5S9T","11 292","Товар завантажено через кілька фідів",Попередження,,
"variant_01KKJ7XYGFTV2CHCK9YZ2PF544","10 435","Товар завантажено через кілька фідів",Попередження,,
"variant_01KKJ7XQV0B03YYY4R1X8WMSVF","2 768","Товар завантажено через кілька фідів",Попередження,,
"variant_01KKJ7XVJVSP2QDYBCBSFHRQ8Z","6 766","Товар завантажено через кілька фідів",Попередження,,
"variant_01KKJ7XZWXJYMPCEYRC954MKE0","11 949","Товар завантажено через кілька фідів",Попередження,,
"variant_01KKJ7XS6HR0VTYHFBP0EQ0X1M","4 131","Товар завантажено через кілька фідів",Попередження,,
"variant_01KKJ7XYVH410XB3G5CF99JQM1","10 603","Товар завантажено через кілька фідів",Попередження,,
"variant_01KKJ7XW5MXPA76DYHHN4DQ8YY","7 275","Товар завантажено через кілька фідів",Попередження,,
"variant_01KKJ7XRTY2D9ZAAB27HFRZ2CH","3 490","Товар завантажено через кілька фідів",Попередження,,
"variant_01KKJ7XP1Z2X48QJABRXKX9MFW","1 201","Товар завантажено через кілька фідів",Попередження,,
"variant_01KKJ7XZGZYMEHFMWWDREG0T0T","11 252","Товар завантажено через кілька фідів",Попередження,,
"variant_01KKJ7XQDS493A87AZPBT6X4N0","2 618","Товар завантажено через кілька фідів",Попередження,,
"variant_01KKJ7XYGHPXF2MXVKV5DKE9VH","10 279","Товар завантажено через кілька фідів",Попередження,,
"variant_01KKJ7XZWW5P8R23ZXB35WE6TR","11 618","Товар завантажено через кілька фідів",Попередження,,
"variant_01KKJ7XYVF42NWN82SCQG0A1EZ","10 585","Товар завантажено через кілька фідів",Попередження,,
"variant_01KKJ7XZWYH17GWRYB1M9E44YS","11 810","Товар завантажено через кілька фідів",Попередження,,
"variant_01KKJ7XP22WCGTNT3VPGGKFEDC","1 372","Товар завантажено через кілька фідів",Попередження,,
"variant_01KKJ7XTZR6QMGM23XTN0ZEDGC","5 876","Товар завантажено через кілька фідів",Попередження,,
"variant_01KKJ7XX0XY3PBXCFG0C34K16Y","8 519","Товар завантажено через кілька фідів",Попередження,,
"variant_01KKJ7XTZPD6EYDXT7RY0AHNEZ","5 840","Товар завантажено через кілька фідів",Попередження,,
"variant_01KKJ7XV9GGDY2RWQ3TBYSYECK","6 288","Товар завантажено через кілька фідів",Попередження,,
"variant_01KKJ7XQ1DT8W6XDKS4F416XWK","2 028","Товар завантажено через кілька фідів",Попередження,,
"variant_01KKJ7XVW353QM5C54YPASMZ74","6 912","Товар завантажено через кілька фідів",Попередження,,
"variant_01KKJ7XSHPDDSF9FWYFFN35GM8","4 289","Товар завантажено через кілька фідів",Попередження,,
"variant_01KKJ7XX0XYJ4HX98F4YZJFMF4","8 629","Товар завантажено через кілька фідів",Попередження,,
"variant_01KKJ7XYVJGCVVZMTP84QDHXKK","10 695","Товар завантажено через кілька фідів",Попередження,,
"variant_01KKJ7XT846YZ7304E71QZMNAG","5 205","Товар завантажено через кілька фідів",Попередження,,
"variant_01KKJ7XQDN85AYAS3XD13QMJNT","2 330","Товар завантажено через кілька фідів",Попередження,,
"variant_01KKJ7XP20XZ9H2GTZ5XJNWN9Q","1 334","Товар завантажено через кілька фідів",Попередження,,
"variant_01KKJ7XZWXRG78B3W787CCBM70","11 850","Товар завантажено через кілька фідів",Попередження,,
"variant_01KKJ7XZGZB1T9Z7V9R5E40KBD","11 561","Товар завантажено через кілька фідів",Попередження,,
"variant_01KKJ7XZGYBQWD9REA8X5XVK5H","11 232","Товар завантажено через кілька фідів",Попередження,,
"variant_01KKJ7XY5A7ARZYZR6GRRRRSA6","9 921","Товар завантажено через кілька фідів",Попередження,,
