Product Id,Product Handle,Product Title,Product Status,Product Thumbnail,Product Sales Channel 1,Variant Id
prod_01KKJ7XWXG37S3T3NXMA6BNPTQ,127236-shpulka,Шпулька,published,/products/127236-101.webp,sc_01KKJ7XHF1RY9YMAVVAF6PS0NV,variant_01KKJ7XX0XVYJY5WQ7NR7WWKAF
prod_01KKJ7XWXG4171DJ5FPQPE8ADD,kosylna-struna-dlya-motokis-2469-m,"Косильна струна для мотокіс 2,4×69 м",published,/products/113496-113497-113498-113500-113502-113503-113504-sba-replacement-thread-square-webshop.webp,sc_01KKJ7XHF1RY9YMAVVAF6PS0NV,variant_01KKJ7XX0XY3PBXCFG0C34K16Y
prod_01KKJ7XWXG6WBR42PDDX9DE9MG,kosylna-struna-dlya-motokis-3056-m,"Косильна струна для мотокіс 3,0×56 м",published,/products/113481-113483-113485-113486-113487-113488-113489-113490-113492-113494-sba-spare-thread-round-webshop.webp,sc_01KKJ7XHF1RY9YMAVVAF6PS0NV,variant_01KKJ7XX0XC7MXHVGXSD80A89S
prod_01KKJ7XWXG7C12VNZRSTCGVQRV,kosylna-struna-dlya-motokis-2415-m,"Косильна струна для мотокіс 2,4×15 м",published,/products/113481-113483-113485-113486-113487-113488-113489-113490-113492-113494-sba-spare-thread-round-webshop.webp,sc_01KKJ7XHF1RY9YMAVVAF6PS0NV,variant_01KKJ7XX0W9T0JS59Y2NNFVX90
prod_01KKJ7XWXGA46ZDDMKFMESNQPW,113498-kosylna-struna-dlya-motokis-2715-m,"Косильна струна для мотокіс 2,7×15 м",published,/products/113496-113497-113498-113500-113502-113503-113504-sba-replacement-thread-square-webshop.webp,sc_01KKJ7XHF1RY9YMAVVAF6PS0NV,variant_01KKJ7XX0XKNBC1GH3P06XDQC6
prod_01KKJ7XWXGHNJRF723R0E7FR1H,kosylna-struna-dlya-motokis-2444-m,"Косильна струна для мотокіс 2,4×44 м",published,/products/113481-113483-113485-113486-113487-113488-113489-113490-113492-113494-sba-spare-thread-round-webshop.webp,sc_01KKJ7XHF1RY9YMAVVAF6PS0NV,variant_01KKJ7XX0WNW925V53QKC9624H
prod_01KKJ7XWXGK0VKKNV1611Q822B,shpulka-dlya-motokosy-frs251351-vario-plastyk,"Шпулька для мотокоси FRS251/351 Vario, пластик",published,/products/112257-101.webp,sc_01KKJ7XHF1RY9YMAVVAF6PS0NV,variant_01KKJ7XX0YVQKZEGW14YCSR36Z
prod_01KKJ7XWXGPC5CWWYZJPJNY473,kosylna-struna-dlya-motokis-3015-m,"Косильна струна для мотокіс 3,0×15 м",published,/products/113496-113497-113498-113500-113502-113503-113504-sba-replacement-thread-square-webshop.webp,sc_01KKJ7XHF1RY9YMAVVAF6PS0NV,variant_01KKJ7XX0XYJ4HX98F4YZJFMF4
prod_01KKJ7XWXGTQG6A6KEPBCPVQ8N,127234-shpulka,Шпулька,published,/products/126679-fadenkopf-2.webp,sc_01KKJ7XHF1RY9YMAVVAF6PS0NV,variant_01KKJ7XX0XAQAQCTQDBGB0E1D3
prod_01KKJ7XWXGWCF8D0EM1Y0G2KPW,113490-kosylna-struna-dlya-motokis-2715-m,"Косильна струна для мотокіс 2,7×15 м",published,/products/113481-113483-113485-113486-113487-113488-113489-113490-113492-113494-sba-spare-thread-round-webshop.webp,sc_01KKJ7XHF1RY9YMAVVAF6PS0NV,variant_01KKJ7XX0W86X1PKT9DKMERMWK
prod_01KKJ7XX5T02HXSR4302Q76VAG,dvyhun-benzynovyy-pro-700-v2-dlya-traktora-hazonokosarky-t-22-1117-hds-a-v2-sylumin-stal,"Двигун бензиновий PRO 700 V2 для трактора-газонокосарки Т 22-111.7 HDS-A V2 . силумін, сталь",published,/products/476858-101.webp,sc_01KKJ7XHF1RY9YMAVVAF6PS0NV,variant_01KKJ7XX94H3MYBW4V4TQ45WMW
prod_01KKJ7XX5TZ2PRE6T36NGJQ7WA,mastylo-dlya-reduktoriv-motokis-ta-elektrychnykh-trymeriv-200-h,"Мастило для редукторів мотокіс та електричних тримерів, 200 г",published,/products/113653-1.webp,sc_01KKJ7XHF1RY9YMAVVAF6PS0NV,variant_01KKJ7XX94S2X7MZBMR8CBDRT8
prod_01KKJ7XX5V4NG59ZZE75N427ZN,dvyhun-benzynovyy-tesh-160-stal-sylumin,"Двигун бензиновий TEСH 160, сталь, силумін",published,/products/492973-101.webp,sc_01KKJ7XHF1RY9YMAVVAF6PS0NV,variant_01KKJ7XX95W3Q9VATT75P97QCS
prod_01KKJ7XX5V4YEAPBYTCAQEWQHQ,dvyhun-benzynovyy-bs-500e-series,Двигун бензиновий B&S 500E Series,published,/products/09P6020036H5YY0001H5YY000-101.webp,sc_01KKJ7XHF1RY9YMAVVAF6PS0NV,variant_01KKJ7XX96E6MN2QBCA47XM6B2
prod_01KKJ7XX5V6PJQRXFFDSESPQQV,dvyhun-benzynovyy-bs-4195-ex-z-elektrostarterom-sylumin-plastyk,"Двигун бензиновий B&S 4195 EX з електростартером, силумін, пластик",published,/products/61E4770015J1EB0001-101.webp,sc_01KKJ7XHF1RY9YMAVVAF6PS0NV,variant_01KKJ7XX97XM5C4Z7WMYFW4910
prod_01KKJ7XX5VDBGHAJSQYVFFATFT,dvyhun-benzynovyy-bs-625ex-series,Двигун бензиновий B&S 625EX Series,published,/products/093J020105H1YY0001-101.webp,sc_01KKJ7XHF1RY9YMAVVAF6PS0NV,variant_01KKJ7XX96YD09VSED1YCPN94W
prod_01KKJ7XX5VFBC8M20PV32FTGSJ,dvyhun-benzynovyy-pro-450-lc1p92f-1-452-cc-traktora-solo-by-al-ko-t-15-955-hd-a-sylumin-stal,"Двигун бензиновий PRO 450 - LC1P92F-1 452 CC трактора Solo by AL-KO T 15-95.5 HD A, силумiн, сталь",published,/products/464929-101.webp,sc_01KKJ7XHF1RY9YMAVVAF6PS0NV,variant_01KKJ7XX95G2XPNSMS88MHRWES
prod_01KKJ7XX5VNV7J4TBG6JJH8PJ8,dvyhun-benzynovyy-pro-125-qss-lc1p65fe-r3000-eu5-dlya-hazonokosarok-sylumin-stal,"Двигун бензиновий PRO 125 QSS LC1P65FE R3000 EU5 для газонокосарок, силумін, сталь",published,/products/457877-101.webp,sc_01KKJ7XHF1RY9YMAVVAF6PS0NV,variant_01KKJ7XX95ZY2M5VF009HRB8AR
prod_01KKJ7XX5VQYGN781RQVYW08TA,dvyhun-bs-seriya-xe2100-chyslo-tsylindriv-1obyem-dvyhuna-420-sm-potuzhnist-2848-ks-maks,"Двигун B&S, серія XE2100, число циліндрів 1,Об'єм двигуна, 420 см³ , потужність, 28,48  к.с., макс.",published,/products/25T2320108F1BR7001-101.webp,sc_01KKJ7XHF1RY9YMAVVAF6PS0NV,variant_01KKJ7XX963EFAJ2G4Q2EK76ZT
prod_01KKJ7XX5VWFA627DR7VPP0GS2,dvyhun-bs-intek-31r7-stal-sylumin,"Двигун B&S INTEK 31R7, сталь, силумін",published,/products/31R7770010B5CC0001-101.webp,sc_01KKJ7XHF1RY9YMAVVAF6PS0NV,variant_01KKJ7XX97A0P1A8MV7M46YAJ2
prod_01KKJ7XX5VX8N79MMX0DSGZ6Q9,dvyhun-benzynovyy-pro-145-qss-lc1p65-fe-4ps-r3000-qss-wl-80-dlya-hazonokosarok-sylumin-stal,"Двигун бензиновий PRO 145 QSS LC1P65 FE 4PS R3000 QSS WL 80 для газонокосарок, силумін, сталь",published,/products/457846-101.webp,sc_01KKJ7XHF1RY9YMAVVAF6PS0NV,variant_01KKJ7XX95AHBTMYM1M6JVT4E4
prod_01KKJ7XX5VZR2Q0ZZTFN7BEV95,dvyhun-benzynovyy-bs-series-750ex-dov,Двигун бензиновий B&S Series 750EX  DOV,published,/products/1006020190H5YY7001-101.webp,sc_01KKJ7XHF1RY9YMAVVAF6PS0NV,variant_01KKJ7XX96CB9TPCNJ219BZ37D
prod_01KKJ7XX5W56MW5GDK8X1PBGPH,dvyhun-benzynovyy-pro-225-lc1p75f-stal-sylumin,"Двигун бензиновий PRO 225 LC1P75F, сталь, силумін",published,/products/493099-101.webp,sc_01KKJ7XHF1RY9YMAVVAF6PS0NV,variant_01KKJ7XX97AXQ1YF8979F8NMYK
prod_01KKJ7XX5W73D3H10PCQE3CEA2,dvyhun-benzynovyy-pro-125-qss-lc1p65fe-dlya-kultyvatoriv-sylumin-stal,"Двигун бензиновий PRO 125 QSS LC1P65FE для культиваторів, силумін, сталь",published,/products/419921-101.webp,sc_01KKJ7XHF1RY9YMAVVAF6PS0NV,variant_01KKJ7XX97NRB2Y8GJEK5F571F
prod_01KKJ7XX5WHEDHZXX67DFPT8SP,dvyhun-benzynovyy-tech-140-stal-sylumin,"Двигун бензиновий TECH 140, сталь, силумін",published,/products/492972-101.webp,sc_01KKJ7XHF1RY9YMAVVAF6PS0NV,variant_01KKJ7XX97SCTK11VVP5PCQ9HW
prod_01KKJ7XX5WZMKPBG0FT8DGNHAW,dvyhun-benzynovyy-pro-170-qss-lc1p65fe-2-stal-sylumin,"Двигун бензиновий PRO 170 QSS LC1P65FE-2, сталь, силумін",published,/products/457873-101.webp,sc_01KKJ7XHF1RY9YMAVVAF6PS0NV,variant_01KKJ7XX97KHAXBX6XH7M7JG7P
prod_01KKJ7XXDV135C7WC2T9TCYHVQ,dvyhun-benzynovyy-bs-4175hp-powerbuilt,Двигун бензиновий B&S 4175HP POWERBUILT,published,/products/493290-101.webp,sc_01KKJ7XHF1RY9YMAVVAF6PS0NV,variant_01KKJ7XXHCSBHF97CB28RWDCGS
prod_01KKJ7XXDV2BWV8NTZK6H77RM8,dvyhun-benzynovyy-bs-3130-ic-21r80,Двигун бензиновий B&S 3130 I/C 21R80,published,/products/468703-101.webp,sc_01KKJ7XHF1RY9YMAVVAF6PS0NV,variant_01KKJ7XXHC9S7TCVWGF0KEFWSH
prod_01KKJ7XXDVA2BCYZ1MQH5BDX61,dvyhun-benzynovyy-bs-500-series-stal,"Двигун бензиновий B&S 500 Series, сталь",published,/products/09P6020036H5YY0001-101.webp,sc_01KKJ7XHF1RY9YMAVVAF6PS0NV,variant_01KKJ7XXHB2TD304VCYAPR9G1J
prod_01KKJ7XXDVBEFHSF8S94D5WTKJ,dvyhun-benzynovyy-bs-675-is-wl80,Двигун бензиновий B&S 675 IS WL80,published,/products/456495-101.webp,sc_01KKJ7XHF1RY9YMAVVAF6PS0NV,variant_01KKJ7XXHB5QH4S0M9JPTZ2DW1
prod_01KKJ7XXDVHRX2C6PS191Q8R79,dvyhun-benzynovyy-bs-450-e-fix-gas,Двигун бензиновий B&S 450 E FIX-GAS,published,/products/454930-101.webp,sc_01KKJ7XHF1RY9YMAVVAF6PS0NV,variant_01KKJ7XXHB1MA9YBD7KDZY18NG
